"Hugo Symbol","Entrez Gene ID","OncoKB Annotated","Is Oncogene","Is Tumor Suppressor Gene"
"PLCG1",5335,"Yes","Yes","No"
"PLK2",10769,"Yes","No","No"
"PMAIP1",5366,"Yes","No","Yes"
"PMS1",5378,"Yes","No","Yes"
"PNRC1",10957,"Yes","No","No"
"PPP4R2",151987,"Yes","No","No"
"PRDM14",63978,"Yes","No","No"
"PRKD1",5587,"Yes","No","No"
"PTP4A1",7803,"Yes","No","No"
"PTPN2",5771,"Yes","No","Yes"
"PTPRD",5789,"Yes","No","Yes"
"PTPRS",5802,"Yes","No","Yes"
"RAB35",11021,"Yes","Yes","No"
"RAC2",5880,"Yes","Yes","No"
"RASA1",5921,"Yes","No","Yes"
"RBM15",64783,"Yes","Yes","Yes"
"RECQL",5965,"Yes","No","Yes"
"RHEB",6009,"Yes","Yes","No"
"RIT1",6016,"Yes","Yes","No"
"RPS6KA4",8986,"Yes","Yes","No"
"RPS6KB2",6199,"Yes","Yes","No"
"RRAGC",64121,"Yes","Yes","No"
"RRAS",6237,"Yes","Yes","No"
"RRAS2",22800,"Yes","Yes","No"
"RTEL1",51750,"Yes","No","Yes"
"RXRA",6256,"Yes","No","No"
"RYBP",23429,"Yes","No","Yes"
"SESN1",27244,"Yes","No","Yes"
"SESN2",83667,"Yes","No","Yes"
"SESN3",143686,"Yes","No","Yes"
"SETDB1",9869,"Yes","Yes","Yes"
"SH2D1A",4068,"Yes","No","Yes"
"SHOC2",8036,"Yes","Yes","No"
"SHQ1",55164,"Yes","No","Yes"
"SLX4",84464,"Yes","No","Yes"
"SMARCE1",6605,"Yes","Yes","Yes"
"SMC1A",8243,"Yes","No","Yes"
"SMC3",9126,"Yes","No","Yes"
"SMYD3",64754,"Yes","Yes","No"
"SOS1",6654,"Yes","Yes","No"
"SOX17",64321,"Yes","No","Yes"
"SPRED1",161742,"Yes","No","Yes"
"SS18",6760,"Yes","Yes","No"
"STK19",8859,"Yes","Yes","No"
"STK40",83931,"Yes","No","No"
"TAL1",6886,"Yes","Yes","No"
"TAP1",6890,"Yes","No","No"
"TAP2",6891,"Yes","No","No"
"TCL1A",8115,"Yes","Yes","No"
"TFE3",7030,"Yes","Yes","No"
"TGFBR1",7046,"Yes","No","Yes"
"TLX1",3195,"Yes","Yes","No"
"TLX3",30012,"Yes","Yes","No"
"TP53BP1",7158,"Yes","No","Yes"
"TRAF3",7187,"Yes","No","Yes"
"TRAF5",7188,"Yes","No","Yes"
"TYK2",7297,"Yes","Yes","No"
"U2AF2",11338,"Yes","No","No"
"UBR5",51366,"Yes","Yes","No"
"UPF1",5976,"Yes","No","No"
"USP8",9101,"Yes","Yes","No"
"VTCN1",79679,"Yes","No","No"
"XBP1",7494,"Yes","Yes","No"
"XIAP",331,"Yes","Yes","No"
"YAP1",10413,"Yes","Yes","No"
"YES1",7525,"Yes","Yes","No"
"ABI1",10006,"No","No","No"
"ACTG1",71,"Yes","No","Yes"
"ACVR1B",91,"No","No","No"
"AFDN",4301,"No","No","No"
"AFF1",4299,"No","No","No"
"AFF4",27125,"No","No","No"
"AGO1",26523,"Yes","Yes","No"
"ALB",213,"Yes","No","No"
"APLNR",187,"Yes","Yes","Yes"
"ARFRP1",10139,"No","No","No"
"ARHGAP26",23092,"No","No","No"
"ARHGAP35",2909,"Yes","Yes","Yes"
"ARHGEF12",23365,"No","No","No"
"ARHGEF28",64283,"Yes","Yes","No"
"ARID3A",1820,"Yes","No","Yes"
"ARID3B",10620,"Yes","Yes","No"
"ARID3C",138715,"Yes","No","No"
"ARID4A",5926,"Yes","No","Yes"
