"Hugo Symbol","Entrez Gene ID","OncoKB Annotated","Is Oncogene","Is Tumor Suppressor Gene"
"SBDS",51119,"No","No","No"
"SEC31A",22872,"No","No","No"
"SEPTIN5",5413,"No","No","No"
"SEPTIN6",23157,"No","No","No"
"SEPTIN9",10801,"No","No","No"
"SERP2",387923,"No","No","No"
"SFPQ",6421,"No","No","No"
"SFRP1",6422,"Yes","No","Yes"
"SFRP2",6423,"Yes","Yes","Yes"
"SFRP4",6424,"No","No","No"
"SIX1",6495,"No","No","No"
"SLC1A2",6506,"No","No","No"
"SLC45A3",85414,"No","No","No"
"SMARCA1",6594,"No","No","No"
"SNCAIP",9627,"No","No","No"
"SND1",27044,"No","No","No"
"SNX29",92017,"No","No","No"
"SOCS2",8835,"No","No","No"
"SOX10",6663,"No","No","No"
"SS18L1",26039,"No","No","No"
"STAT1",6772,"Yes","No","No"
"STAT2",6773,"Yes","No","No"
"STAT4",6775,"No","No","No"
"STIL",6491,"No","No","No"
"STRN",6801,"No","No","No"
"TAF1",6872,"No","No","No"
"TCEA1",6917,"No","No","No"
"TCF12",6938,"No","No","No"
"TCL1B",9623,"Yes","Yes","No"
"TEC",7006,"No","No","No"
"TERC",7012,"No","No","No"
"TFEB",7942,"No","No","No"
"TFPT",29844,"No","No","No"
"TFRC",7037,"No","No","No"
"TIPARP",25976,"No","No","No"
"TLE1",7088,"Yes","No","No"
"TLE2",7089,"Yes","No","No"
"TLE3",7090,"Yes","No","No"
"TLE4",7091,"Yes","No","No"
"TLL2",7093,"No","No","No"
"TMEM30A",55754,"No","No","No"
"TMSB4XP8",7117,"No","No","No"
"TNFRSF11A",8792,"No","No","No"
"TPR",7175,"No","No","No"
"TRIM27",5987,"No","No","No"
"TRIM33",51592,"No","No","No"
"TRRAP",8295,"No","No","No"
"TTL",150465,"No","No","No"
"TUSC3",7991,"No","No","No"
"TYRO3",7301,"No","No","No"
"WAS",7454,"No","No","No"
"WDCP",80304,"No","No","No"
"WDR90",197335,"No","No","No"
"WRN",7486,"No","No","No"
"XPA",7507,"No","No","No"
"XPC",7508,"No","No","No"
"YPEL5",51646,"No","No","No"
"YWHAE",7531,"No","No","No"
"YY1",7528,"Yes","Yes","No"
"YY1AP1",55249,"No","No","No"
"ZBTB20",26137,"Yes","Yes","Yes"
"ZBTB7A",51341,"No","No","No"
"ZFP36L1",677,"Yes","No","Yes"
"ZMYM3",9203,"No","No","No"
"ZNF24",7572,"No","No","No"
"ZNF331",55422,"No","No","No"
"ZNF750",79755,"Yes","No","Yes"
