"Gene" "Sample" "Cancer" "FPKM"
"ENSG00000005810" "TCGA-02-0047-01A" "GBM" 4.5029
"ENSG00000004866" "TCGA-02-0047-01A" "GBM" 4.5079
"ENSG00000004838" "TCGA-02-0047-01A" "GBM" 4.556
"ENSG00000005243" "TCGA-02-0047-01A" "GBM" 4.7065
"ENSG00000005302" "TCGA-02-0047-01A" "GBM" 4.7967
"ENSG00000005893" "TCGA-02-0047-01A" "GBM" 48.1195
"ENSG00000005020" "TCGA-02-0047-01A" "GBM" 4.923
"ENSG00000005700" "TCGA-02-0047-01A" "GBM" 5.0736
"ENSG00000006118" "TCGA-02-0047-01A" "GBM" 53.461
"ENSG00000005206" "TCGA-02-0047-01A" "GBM" 5.6754
"ENSG00000003096" "TCGA-02-0047-01A" "GBM" 5.8019
"ENSG00000003436" "TCGA-02-0047-01A" "GBM" 6.0384
"ENSG00000004864" "TCGA-02-0047-01A" "GBM" 6.144
"ENSG00000005249" "TCGA-02-0047-01A" "GBM" 6.1673
"ENSG00000005059" "TCGA-02-0047-01A" "GBM" 6.17
"ENSG00000001084" "TCGA-02-0047-01A" "GBM" 6.1735
"ENSG00000001461" "TCGA-02-0047-01A" "GBM" 6.2347
"ENSG00000006015" "TCGA-02-0047-01A" "GBM" 6.2351
"ENSG00000005486" "TCGA-02-0047-01A" "GBM" 62.4161
"ENSG00000005339" "TCGA-02-0047-01A" "GBM" 6.3368
"ENSG00000001497" "TCGA-02-0047-01A" "GBM" 6.5007
"ENSG00000006016" "TCGA-02-0047-01A" "GBM" 6.5031
"ENSG00000005448" "TCGA-02-0047-01A" "GBM" 6.6633
"ENSG00000004700" "TCGA-02-0047-01A" "GBM" 6.6689
"ENSG00000005882" "TCGA-02-0047-01A" "GBM" 6.7597
"ENSG00000005469" "TCGA-02-0047-01A" "GBM" 6.7901
"ENSG00000004961" "TCGA-02-0047-01A" "GBM" 6.8154
"ENSG00000004975" "TCGA-02-0047-01A" "GBM" 6.8651
"ENSG00000005100" "TCGA-02-0047-01A" "GBM" 6.9081
"ENSG00000006125" "TCGA-02-0047-01A" "GBM" 72.8946
"ENSG00000001167" "TCGA-02-0047-01A" "GBM" 7.4554
"ENSG00000003756" "TCGA-02-0047-01A" "GBM" 7.7008
"ENSG00000005238" "TCGA-02-0047-01A" "GBM" 7.789
"ENSG00000005483" "TCGA-02-0047-01A" "GBM" 7.8031
"ENSG00000005812" "TCGA-02-0047-01A" "GBM" 8.1811
"ENSG00000004534" "TCGA-02-0047-01A" "GBM" 8.2227
"ENSG00000004897" "TCGA-02-0047-01A" "GBM" 8.4251
"ENSG00000004468" "TCGA-02-0047-01A" "GBM" 8.5459
"ENSG00000002919" "TCGA-02-0047-01A" "GBM" 8.6754
"ENSG00000006282" "TCGA-02-0047-01A" "GBM" 8.7738
"ENSG00000004799" "TCGA-02-0047-01A" "GBM" 9.5186
