,Sample,Cancer,Hugo
321811,TCGA-24-0966-01A,OV,WDR54
322096,TCGA-XE-A9SE-01A,TGCT,WDR54
322862,TCGA-CN-A49A-01A,HNSC,WNT16
323221,TCGA-HC-7079-01A,PRAD,WNT16
323812,TCGA-BH-A0B9-01A,BRCA,YBX2
324133,TCGA-AA-A00Q-01A,COAD,YBX2
324260,TCGA-AU-6004-01A,COAD,YBX2
324411,TCGA-AA-3554-01A,COAD,YBX2
325952,TCGA-A7-A3RF-01A,BRCA,ZFX
326342,TCGA-A2-A0CO-01A,BRCA,ZFX
326502,TCGA-BH-A0B9-01A,BRCA,ZFX
326927,TCGA-F4-6459-01A,COAD,ZFX
327590,TCGA-34-5240-01A,LUSC,ZFX
327860,TCGA-FB-A4P5-01A,PAAD,ZFX
328071,TCGA-HC-7079-01A,PRAD,ZFX
328510,TCGA-EM-A3AP-01A,THCA,ZFX
328573,TCGA-EM-A22J-01A,THCA,ZFX
328889,TCGA-A7-A3RF-01A,BRCA,ZMYND10
329138,TCGA-A2-A0CO-01A,BRCA,ZMYND10
329950,TCGA-24-0966-01A,OV,ZMYND10
330972,TCGA-BH-A0B9-01A,BRCA,ZNF195
331097,TCGA-E2-A1LB-01A,BRCA,ZNF195
331223,TCGA-AA-A00Q-01A,COAD,ZNF195
331331,TCGA-AU-6004-01A,COAD,ZNF195
331627,TCGA-CN-A49A-01A,HNSC,ZNF195
331671,TCGA-CJ-6030-01A,KIRC,ZNF195
332747,TCGA-HC-7079-01A,PRAD,ZNF195
333233,TCGA-XE-A9SE-01A,TGCT,ZNF195
334270,TCGA-A2-A0CO-01A,BRCA,ZNF263
334420,TCGA-BH-A0B9-01A,BRCA,ZNF263
334781,TCGA-AA-A00Q-01A,COAD,ZNF263
335148,TCGA-CN-A49A-01A,HNSC,ZNF263
335192,TCGA-KL-8324-01A,KICH,ZNF263
335236,TCGA-CJ-6030-01A,KIRC,ZNF263
335789,TCGA-34-5240-01A,LUSC,ZNF263
335934,TCGA-FB-A4P5-01A,PAAD,ZNF263
336175,TCGA-HC-7079-01A,PRAD,ZNF263
336580,TCGA-XE-A9SE-01A,TGCT,ZNF263
